,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
32957,1,1,40,14,13,35990015,7585,2214947,10.0,0,0,2,6
32958,1,6,50,103,46,54040011,4069,2325939,4.0,0,0,2,2
32959,1,6,46,55,3,22990001,2917,2322461,3.0,1,0,1,2
32962,1,6,46,42,13,35990017,8825,1264706,20.0,0,1,1,4
32963,1,2,55,2,21,54040011,4156,2218116,8.0,1,0,2,5
32964,1,6,44,99,63,54040011,4095,2260881,7.0,0,0,2,4
32968,1,1,43,213,99,48010020,4673,2173661,15.0,0,1,2,11
32970,1,6,43,99,25,12990002,864,751447,45.0,0,0,2,31
32972,1,1,44,183,20,13990063,2427,2091573,12.0,0,0,3,7
32976,1,6,48,171,13,13990041,6191,1405001,70.0,0,0,9,55
32980,1,2,45,14,31,22000002,2957,932740,15.0,0,0,1,3
32981,1,1,43,66,66,13990076,1811,2352182,8.0,0,0,1,6
32982,1,6,44,213,54,23990198,10783,2235504,5.0,0,1,2,2
32983,1,6,49,219,91,48990000,4250,726722,50.0,1,0,2,23
32986,1,2,61,154,87,9150000,7143,692901,999.0,0,1,13,999
32994,1,2,44,106,93,12990002,864,1922944,13.0,0,0,1,7
32995,1,2,43,99,0,9150000,7143,743688,40.0,0,0,4,19
32997,1,6,45,99,26,12990002,840,1824805,10.0,0,0,3,2
33002,1,1,44,14,63,9990001,7143,803104,45.0,0,0,1,21
33005,1,2,45,194,67,35990001,3988,2083701,15.0,0,0,0,10
33006,1,1,45,89,13,11990003,1100,750162,40.0,0,0,5,18
33007,1,2,44,99,44,22990001,2917,2322357,2.0,0,1,1,1
33008,1,1,44,71,29,35990016,7681,2315299,5.0,0,0,2,3
33010,1,6,46,227,22,54040011,4069,2300691,12.0,0,1,1,10
33011,1,6,47,209,32,35990015,7592,2340959,5.0,1,0,0,4
33013,1,6,45,123,99,50990041,7222,2231555,20.0,0,1,1,17
33014,1,6,45,214,80,12990001,9666,2315698,4.0,0,0,2,2
33017,1,6,53,26,37,13990076,2092,2288857,7.0,1,0,1,5
33019,1,1,43,42,99,13990075,2182,2181944,15.0,0,0,3,11
