,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
45657,1,2,34,14,84,40040007,3520,2089384,28.0,0,1,3,22
45659,1,1,37,169,40,11990003,1100,1152483,25.0,1,0,7,6
45660,0,2,45,14,72,54040011,4069,2340682,2.0,0,1,0,1
45662,1,2,36,87,16,13990042,6353,2228438,10.0,0,0,1,9
45665,1,6,55,123,9,11990004,1391,1519909,20.0,0,0,3,7
45666,1,1,41,206,59,35990014,7669,2196342,12.0,0,0,2,8
45669,1,6,39,186,66,38990026,11219,2341819,5.0,0,0,0,4
45670,1,6,40,183,93,48010020,4636,2230173,5.0,0,1,2,2
45673,1,6,58,89,71,54040011,4069,2003974,19.0,0,0,5,12
45674,1,1,37,55,12,11990004,1337,1600610,15.0,0,0,4,3
45675,1,2,44,213,40,11990003,1249,1260803,20.0,1,0,9,1
45676,0,6,42,214,41,35990003,8659,2332353,12.0,0,0,1,9
45677,1,1,42,105,48,48010020,4675,2228533,10.0,0,1,2,6
45678,1,6,35,135,77,52030024,11034,2259861,7.0,0,0,1,4
45679,1,6,41,102,24,54040011,4107,2319451,4.0,1,0,0,3
45681,1,6,40,195,26,22990002,2957,1948527,37.0,0,1,1,29
45682,1,2,35,179,26,13150005,480,1941103,8.0,1,0,4,0
45683,1,1,40,147,37,35990003,8115,1941928,30.0,0,0,5,22
45684,1,2,44,99,99,10990004,780,1184740,28.0,0,0,4,19
45689,1,1,42,99,87,52030024,5224,2169443,12.0,0,1,2,8
45690,1,6,40,195,48,36990009,4890,2301481,10.0,0,0,1,8
45691,1,2,44,219,46,13990083,2360,2288525,9.0,0,1,2,6
45692,1,6,46,226,8,73990677,9501,2282277,8.0,1,0,2,5
45693,0,6,41,235,62,35990002,3923,2224186,13.0,0,1,2,10
45697,1,1,37,99,13,9990019,7143,1357420,31.0,0,0,0,18
45698,0,2,49,68,39,35990003,6889,2308134,10.0,1,0,0,9
45700,1,6,46,156,46,22990002,2957,2288199,20.0,0,0,1,17
45702,1,2,41,14,73,35990014,7937,2263126,8.0,0,1,2,5
45704,1,1,41,147,46,13160017,5656,2335159,5.0,0,0,0,4
45705,1,6,39,107,85,11990004,1120,1415798,15.0,0,1,3,2
45709,1,6,43,241,93,54040011,4120,2170785,10.0,0,0,3,6
45710,1,1,61,103,70,11990003,1100,854958,40.0,0,0,3,17
45712,1,2,39,147,16,35990004,8114,1966308,20.0,0,0,3,13
45715,1,6,47,123,46,48010020,4534,2155677,18.0,0,0,2,14
45719,1,2,35,156,8,35990016,8150,2271240,20.0,0,0,1,16
45720,1,2,38,93,29,35990003,8326,2306340,16.0,1,0,0,14
45723,1,6,39,165,54,26040047,5406,2275479,10.0,0,0,1,8
45725,1,2,41,14,38,13990075,1883,2328526,5.0,1,0,0,4
45727,1,2,38,99,75,9990019,7143,1329946,22.0,0,0,6,5
45729,1,1,42,213,13,35990003,9053,2015379,25.0,0,0,3,19
45730,1,1,39,160,96,35990015,7698,2323041,4.0,0,1,1,2
45731,1,6,38,165,60,26050014,3622,2327409,3.0,1,0,1,2
45733,1,2,44,82,32,35990016,7719,2325894,4.0,1,0,1,2
45736,1,1,36,213,43,12990002,1008,1981436,8.0,0,0,3,1
45737,1,2,36,106,43,35990003,6628,2116687,20.0,0,1,3,14
45738,1,2,38,68,19,35990002,6937,2166987,8.0,0,0,3,4
45740,1,6,38,165,49,36010005,5927,2258943,4.0,0,1,1,1
45743,1,1,44,156,71,35990003,7824,2008810,20.0,0,1,4,14
45745,1,2,38,99,47,13990043,6289,1960160,25.0,0,1,4,18
45747,1,1,35,219,12,12990002,986,1526997,28.0,1,0,13,39
45748,1,6,37,103,22,35990005,8359,2329810,15.0,0,0,0,13
45749,1,2,37,213,52,13990063,2433,2259040,12.0,1,0,2,8
45754,1,1,42,82,44,11990001,9767,2300697,5.0,0,0,0,2
45755,1,2,38,213,28,13990075,1922,2284483,12.0,0,0,1,9
45756,1,1,39,213,65,22990002,2957,1976120,15.0,0,0,5,8
45757,1,2,37,14,58,50160005,11205,2334099,3.0,0,0,0,2
45758,1,1,44,213,12,13150005,493,1990934,11.0,0,0,1,5
45759,1,6,40,90,13,12990001,9666,2318804,10.0,0,0,1,8
45760,1,1,33,14,46,12990001,9666,2236025,20.0,0,0,1,16
45763,1,1,50,69,45,13990041,6353,1304198,40.0,0,0,13,23
45766,1,1,38,219,67,12990001,9666,1126349,20.0,0,0,10,0
45767,1,6,52,16,21,11990002,10040,1548431,15.0,0,0,5,3
45769,1,6,44,172,87,64080001,7242,2314372,7.0,1,0,1,5
45770,0,6,42,156,62,35990209,9413,2322027,6.0,1,0,2,3
45772,0,6,48,213,35,25890001,5304,2239708,7.0,1,0,2,4
45773,1,6,40,90,22,26040042,5434,2313893,4.0,0,0,1,2
45776,1,1,48,71,54,12990002,864,1278939,30.0,0,1,3,12
45777,1,2,39,214,66,35990003,9142,2274112,7.0,0,0,3,4
45781,1,6,42,214,47,22990003,2957,893175,40.0,0,0,5,21
45783,1,6,43,82,77,49990002,4393,2201526,20.0,0,1,2,15
45784,1,1,41,195,22,25890002,5285,2328311,4.0,0,1,1,2
45786,0,6,43,89,39,35990016,7719,2335001,5.0,1,0,1,4
45787,1,2,41,173,0,52030024,11120,2351236,6.0,0,0,5,0
45788,1,6,35,226,21,13990043,5996,1920629,10.0,0,0,8,1
45790,1,6,42,107,32,9990019,7143,1134514,20.0,1,0,9,1
45792,1,2,42,14,38,36990008,11298,2307915,4.0,1,0,1,2
45793,1,6,41,147,99,35990037,6580,1141365,25.0,0,0,4,7
45794,1,6,42,213,46,9990019,7143,1216848,30.0,0,0,4,11
45795,1,2,43,14,43,35990015,7585,2190622,4.0,0,0,3,0
45798,1,1,40,156,93,22990002,3252,2142701,25.0,0,1,2,20
45799,1,6,42,90,74,20990001,1594,1086890,70.0,0,0,12,50
45802,1,6,38,236,31,35990037,7107,1181771,20.0,0,1,4,6
45803,1,6,55,135,26,11990004,1120,1002100,30.0,0,1,6,9
45805,1,2,41,13,88,9990001,7143,835816,30.0,0,0,8,12
45806,1,6,53,42,46,26990120,9759,2064026,19.0,0,0,4,13
45807,1,1,34,160,25,22990002,3262,1611913,15.0,0,1,9,6
45809,1,2,38,232,15,13150007,520,1828910,15.0,0,0,1,6
45814,1,1,35,99,67,12990002,920,1752134,12.0,0,0,4,2
45815,1,2,38,14,22,52030024,5211,2284626,6.0,0,1,1,4
45816,1,1,40,156,13,35990003,8383,1835020,35.0,0,0,1,27
45817,1,2,34,156,0,36990006,5163,2048125,6.0,0,0,4,0
45818,1,2,36,12,73,12990002,864,1577126,20.0,0,1,3,7
45820,1,6,37,88,87,12990002,864,1712351,20.0,0,0,1,9
45822,1,1,40,219,73,13150004,82,1393043,20.0,0,0,13,4
45823,0,6,42,92,62,35990016,7719,2325740,4.0,0,1,1,3
45824,1,1,41,170,73,12990001,9666,2096744,40.0,0,1,0,35
45825,1,1,40,99,73,52030024,5223,1593411,25.0,0,0,6,13
45827,1,1,37,231,73,9990017,7080,1964618,15.0,0,0,5,8
45828,1,6,39,99,75,35990016,7457,2145305,30.0,0,0,2,25
45830,1,6,41,219,12,13990073,2328,2137849,30.0,1,0,0,25
45831,1,1,40,183,12,13990042,6413,1341871,31.0,0,0,12,15
45832,1,6,43,2,74,36990008,5164,2248011,8.0,0,0,2,5
45834,1,2,38,213,12,35990003,3953,2205625,20.0,0,0,1,17
45837,1,2,43,66,48,54040011,4120,2313492,15.0,0,0,1,12
45838,0,1,41,105,41,35990015,7870,2150213,18.0,0,0,3,14
45839,1,1,42,213,38,10990004,780,1925001,15.0,1,0,0,7
45844,1,6,42,105,48,23990202,10807,2345303,8.0,0,0,0,7
45846,1,2,35,173,0,52030024,11034,2263689,15.0,0,0,2,11
45847,1,6,52,165,35,36010001,5820,2206585,5.0,1,0,1,1
45848,1,2,41,106,51,10990004,780,2010394,12.0,0,0,1,5
45850,1,1,38,156,86,13150004,256,1689405,15.0,0,0,9,4
45852,1,2,38,14,3,13990075,1883,2186855,7.0,0,0,3,3
45853,1,6,50,219,93,9990001,7143,932983,40.0,0,0,2,18
45854,1,2,47,92,58,48010020,4690,2337470,8.0,0,0,1,6
45855,1,1,37,213,13,35990016,8057,2084487,10.0,0,0,3,5
45856,1,1,50,147,53,11990001,9767,1249265,20.0,1,0,8,2
45857,1,1,36,13,3,52030024,11041,1666664,8.0,0,0,1,9
45859,1,6,39,183,81,35990017,7870,1677068,50.0,1,0,6,38
45861,1,6,41,45,4,11990004,1417,1394130,20.0,0,0,5,5
45862,1,6,41,24,25,35990003,7811,2117457,30.0,0,1,3,24
45864,1,1,43,99,13,12990002,864,828587,45.0,0,1,3,20
45865,1,6,41,186,12,23990194,10696,2167514,15.0,0,1,3,11
45867,1,2,37,65,9,48010020,4462,2250468,7.0,1,0,2,4
45868,1,6,48,186,30,11990001,9828,2219818,8.0,0,1,3,4
45869,1,6,38,165,47,13990083,1959,2233585,4.0,0,1,2,1
45870,1,1,43,99,32,35990016,7719,2323583,2.0,1,0,2,0
45871,0,2,40,231,69,12990002,864,1956730,8.0,0,0,3,1
45872,1,1,38,173,85,9990019,7143,1531620,28.0,0,0,0,14
45874,1,6,50,48,74,52030024,11046,2119898,15.0,0,1,3,10
45876,1,1,41,55,63,22990002,2957,1690561,40.0,0,0,2,29
45879,1,1,37,214,76,48010020,4652,2287665,10.0,0,0,1,8
45880,1,6,37,214,12,13150005,703,2041031,8.0,0,0,4,2
45881,0,6,63,114,42,9170000,3561,817262,50.0,0,0,12,26
45882,0,6,38,165,42,35990003,8967,2265570,5.0,0,0,0,3
45883,1,1,41,169,87,35990015,7582,1841755,10.0,1,0,1,2
45884,1,1,41,55,12,13150005,688,1257767,35.0,0,0,0,17
45887,1,1,44,55,18,11990004,1391,1422462,25.0,1,0,4,8
45888,1,6,39,65,85,35990003,9092,2218094,15.0,0,1,2,12
45889,1,6,57,59,95,11990003,1100,853733,40.0,0,0,3,17
45890,1,2,41,173,25,54040011,4120,2201273,12.0,0,1,2,8
45891,1,1,42,99,63,12990002,864,1145508,35.0,0,0,26,71
45894,1,6,43,99,59,54040011,4095,2252477,10.0,0,1,1,8
45896,1,6,51,14,9,35990016,7927,2330928,3.0,0,1,0,2
45897,1,2,40,99,63,52030024,5223,1761762,25.0,0,1,7,15
45898,0,6,52,99,69,13150005,293,2116403,7.0,0,0,2,2
45899,1,2,40,186,51,13990075,2182,2143711,10.0,0,0,3,6
45901,1,6,67,55,16,11990004,1120,823216,25.0,1,0,11,2
45902,1,6,37,89,93,13150001,679,1379071,25.0,0,0,3,9
45904,1,2,41,30,40,36010001,5927,1908816,10.0,1,0,3,2
45906,1,2,42,99,9,36990007,4912,1741811,12.0,0,0,8,2
45907,1,6,38,160,28,22990002,2957,1636107,25.0,0,0,1,15
45908,1,6,41,114,99,35990015,7872,2053693,50.0,0,0,1,44
45909,0,2,38,14,57,23990209,10855,2328331,4.0,0,0,0,3
45913,1,1,40,55,12,9990022,3480,1052123,40.0,0,0,3,17
45914,1,6,41,156,3,52120009,11041,2352704,2.0,0,1,0,2
45915,1,1,39,55,93,22990001,3329,2318144,3.0,0,0,1,2
45917,1,6,40,146,28,13990076,2138,2324519,4.0,0,1,1,2
45918,1,1,39,14,32,13150005,520,1932730,10.0,1,0,3,2
45919,0,6,41,109,17,35990003,7627,2161044,17.0,1,0,3,12
45921,1,6,50,82,32,35990015,8295,2210624,7.0,1,0,3,3
45933,0,2,41,37,62,35990015,7582,2320765,5.0,1,0,1,3
45937,1,1,44,213,13,50990041,7222,2148787,8.0,0,0,3,4
45938,1,6,41,82,32,24110003,10966,2239745,4.0,1,0,3,1
45939,1,6,38,105,82,48040003,10240,2319802,3.0,0,0,1,1
45940,1,2,38,106,3,13990076,2265,2218572,5.0,0,1,3,2
45942,1,6,42,165,99,13150005,703,905128,50.0,0,0,3,28
45944,1,6,41,193,26,22990002,3472,1617804,13.0,0,0,10,5
45948,1,2,38,143,2,52120009,11139,2347851,3.0,0,0,1,2
45950,1,6,52,135,75,35990002,6682,2313802,10.0,1,0,0,8
45951,1,1,38,165,82,35990002,4053,2343681,2.0,1,0,0,2
45952,1,6,33,186,38,13150005,480,1970551,14.0,1,0,0,7
45953,1,6,40,231,3,23990197,10591,2162223,11.0,1,0,3,7
45954,1,2,39,173,9,13990076,1905,2223442,10.0,0,1,3,6
45955,1,1,36,173,3,48010020,4604,1970271,14.0,0,1,5,7
45956,0,2,38,199,62,22990002,3338,2336750,8.0,1,0,2,6
45957,1,2,35,219,12,11990002,10029,1799226,10.0,0,0,4,1
45958,0,6,38,173,62,12990001,9666,2219835,6.0,1,0,3,3
45959,1,2,40,106,3,12990002,864,1903020,17.0,0,0,0,8
45960,1,1,39,13,12,12990001,9666,2074576,11.0,0,0,5,4
45961,1,6,39,218,83,22990002,2957,2021682,8.0,0,0,5,1
45962,1,6,40,68,61,35990015,7585,2200393,10.0,0,0,2,7
45963,1,1,41,99,73,52130005,3804,1668093,60.0,0,0,5,47
45966,1,6,41,118,58,25020021,5372,2316140,10.0,0,1,2,7
45967,1,2,40,82,32,52120009,11027,2325887,3.0,0,1,1,2
45968,1,6,41,105,3,54040011,4069,2199011,30.0,0,0,1,26
45969,1,6,42,147,88,11990003,1100,1137476,20.0,0,0,9,1
45971,1,1,40,233,85,13990043,6150,2341924,4.0,0,0,1,3
45972,1,2,51,77,32,35990003,4048,1908095,25.0,1,0,5,17
45973,1,6,51,213,74,12990001,9676,1652468,15.0,0,0,1,5
45975,0,1,43,99,69,12990002,920,1971605,8.0,0,0,3,1
45977,1,1,39,99,54,22990002,3338,2287977,8.0,0,0,1,6
45979,1,1,38,156,52,48010020,4463,1995529,30.0,1,0,4,23
45981,1,1,36,133,25,48040003,10145,2113869,25.0,0,0,2,19
45985,1,1,39,99,49,12990002,864,1341721,30.0,0,0,3,12
45986,0,2,36,66,41,35990016,7882,2343214,10.0,0,0,0,9
45990,1,1,40,160,37,35990015,7582,2179574,10.0,0,1,2,6
45991,1,6,40,130,59,35990003,3985,2037095,30.0,0,0,3,24
45992,1,2,38,232,10,22990002,2957,2287891,13.0,0,0,2,10
45994,1,6,41,130,35,35990002,8932,2250293,25.0,0,0,0,22
45995,1,1,42,55,0,48010019,4573,2028648,15.0,0,0,4,8
45996,1,2,42,106,32,48010020,4636,2288339,4.0,1,0,1,2
45999,1,2,39,127,31,22990008,3410,2300244,4.0,0,0,1,2
46003,1,6,39,105,32,48010020,4666,2325170,10.0,0,1,1,8
46004,1,2,39,24,3,13150005,520,1980062,12.0,0,0,1,5
46005,1,2,34,19,60,13990076,1979,2332500,2.5,0,0,1,1
46006,1,1,34,27,82,20990001,1594,2184641,10.0,0,0,3,6
46007,1,6,38,69,74,35990003,7804,2178290,10.0,1,0,3,6
46009,1,1,37,82,16,22990002,2957,2313487,3.0,0,0,1,1
46010,1,1,39,90,86,35990014,7870,2183476,7.0,1,0,4,3
46014,1,1,37,99,84,11990001,2761,2230249,20.0,0,0,0,16
46015,1,6,35,20,73,37040001,7527,1664682,20.0,0,0,1,68
46017,1,2,39,213,64,22990002,2957,2285256,15.0,0,1,1,13
46019,0,1,39,55,98,52120009,11034,2340210,4.0,0,0,0,3
46020,1,6,36,160,13,22990007,2957,1742942,12.0,0,0,7,2
46021,1,1,39,99,73,12990002,864,1092078,25.0,0,0,7,12
46023,1,2,35,147,77,35990156,9004,1726591,18.0,0,0,3,8
46028,1,2,49,213,18,36010001,5856,2071341,8.0,0,0,2,2
46029,1,2,41,14,38,12990002,864,1226516,35.0,1,0,0,17
46031,1,2,40,101,74,22990002,2957,2315306,12.0,0,0,2,9
46033,1,2,40,20,86,13150005,443,1686364,15.0,0,1,3,9
46034,1,6,41,153,21,22990002,2957,2038536,20.0,0,1,6,12
46037,1,1,38,2,75,35990016,7608,2188638,20.0,0,0,1,16
46038,1,6,52,160,51,13150011,420,1970110,9.0,0,0,2,2
46040,1,6,38,59,97,48010020,4652,2325626,10.0,0,1,1,8
46041,1,2,41,165,52,48010020,4690,2166746,15.0,1,0,3,11
46043,1,6,37,165,75,35990016,7582,2265113,13.0,0,0,1,11
46046,1,2,42,30,13,13150005,520,2120730,7.0,0,1,4,2
46048,1,6,52,55,32,35990003,3933,1343306,25.0,1,0,3,12
46049,1,1,43,99,49,13160014,10095,2317719,5.0,0,1,1,3
46050,1,2,43,99,50,35990002,4015,2132411,7.0,0,1,3,3
46051,1,6,39,242,27,36990013,5962,1888149,8.0,0,0,6,0
46052,1,1,39,156,77,12990001,9666,1451141,30.0,0,0,8,15
46053,1,2,35,238,13,13990075,2042,2209053,20.0,0,1,2,15
46055,1,6,35,42,59,11990004,1324,1366089,30.0,0,0,2,13
46056,1,2,39,14,0,12990002,864,1406497,15.0,0,0,6,1
46057,1,2,38,99,70,26040043,5598,2332123,4.0,0,1,0,3
46059,1,2,35,106,9,36010001,5765,2270151,3.0,0,0,0,1
46060,1,1,55,55,60,52120009,11108,2335252,2.0,1,0,1,1
46062,1,6,40,213,63,36990007,4916,2224873,10.0,0,0,1,7
46063,0,1,34,49,83,13160016,5712,2131217,6.0,0,0,4,0
46064,1,6,48,99,99,11990002,10018,1303888,20.0,0,0,7,3
46068,1,6,35,89,19,25890002,5274,2289787,7.0,0,1,1,5
46069,1,2,46,42,48,38990026,11158,2350590,2.0,0,1,0,1
46070,1,1,38,55,54,9990019,7143,1634133,20.0,0,0,3,7
46071,1,2,38,232,0,9990020,2803,1246673,20.0,0,0,7,8
46072,1,1,44,214,66,22990002,2957,2321805,8.0,0,0,0,7
46076,1,6,34,14,31,12990001,9666,2033074,12.0,1,0,5,6
46077,1,6,53,238,46,36010001,5927,850427,20.0,1,0,0,16
46079,1,6,35,143,51,35990016,7719,2320792,8.0,0,1,1,6
46080,1,1,37,99,27,35990015,7536,1737770,15.0,0,1,3,7
46081,1,2,37,99,25,13150005,202,1869949,15.0,0,0,1,6
46082,1,1,36,92,28,22990002,2957,2064101,8.0,1,0,4,3
46083,1,2,38,30,63,13990075,1916,2330739,3.0,0,0,1,2
46084,1,1,39,99,86,12990002,904,2019403,14.0,0,0,1,6
46085,1,6,39,206,10,25890001,5283,2153243,20.0,1,0,2,16
46087,1,6,39,206,48,35990014,7715,2261337,9.0,0,0,1,7
46090,1,6,53,206,74,35990016,7927,2318732,10.0,0,1,0,8
46093,1,6,38,147,6,11990004,1453,1476363,15.0,1,0,6,1
46094,1,1,35,156,25,48010020,4516,2244716,7.0,0,0,3,3
46095,1,2,38,82,27,12990002,836,2007177,9.0,0,0,3,1
46096,1,2,47,14,54,13990076,2084,2323731,4.0,0,0,1,2
46099,1,6,38,98,15,54040011,4069,2259438,6.0,0,0,0,7
46101,1,1,37,99,54,12990002,904,2043941,12.0,0,0,0,6
46102,1,2,40,30,46,36990007,5163,1840999,10.0,0,1,7,1
46104,1,6,44,136,46,13990043,6065,2338221,5.0,0,0,0,4
46106,0,6,43,165,42,12990001,9666,2161392,20.0,0,0,2,16
46107,1,1,43,149,9,48040003,10249,2278993,10.0,0,0,1,8
46110,1,1,36,149,97,13990063,2427,2039000,5.0,0,0,2,2
46111,1,6,36,59,25,35990003,7804,2101227,15.0,0,0,4,9
46112,1,6,58,123,9,54040011,4069,2150082,20.0,0,0,3,15
46115,1,6,41,213,65,20990005,1628,1670558,15.0,0,0,4,4
46116,1,1,39,99,22,52120009,5224,2348259,2.0,1,0,0,2
46117,1,1,40,99,2,52030024,5224,2311054,4.0,0,1,1,1
46118,1,1,38,82,93,12990001,9666,2291432,4.0,0,0,2,1
46120,1,6,42,99,61,35990015,7585,2329377,2.0,0,0,1,1
46122,0,1,44,213,69,9990019,7143,896900,40.0,0,0,0,23
46126,1,1,40,99,73,13150011,88,2095532,7.0,0,0,2,2
46127,1,1,35,99,91,35990016,8539,2174612,10.0,0,0,0,5
46128,1,1,37,99,47,13150004,602,1853711,12.0,0,0,3,3
46129,1,1,36,99,26,48010020,4678,2012723,35.0,0,0,4,27
46130,1,6,38,169,75,13990075,1702,2293323,15.0,0,1,1,13
46131,1,2,39,158,0,9990019,7143,1457393,30.0,0,0,0,15
46133,1,1,41,55,73,9990019,7143,1290778,29.0,0,0,2,12
46134,1,6,39,206,59,35990003,6695,2221895,25.0,0,0,0,22
46135,1,2,38,99,86,38990029,11275,2320914,7.0,0,0,1,5
46136,1,2,36,55,93,35990003,9097,2031391,35.0,0,0,3,28
46141,1,1,38,176,99,36990007,5129,2182920,5.0,0,1,3,1
46142,1,1,37,99,13,12990001,9742,1589921,25.0,0,1,6,25
46145,1,6,44,123,25,35990015,7872,2077750,35.0,0,1,2,29
46146,1,1,43,99,11,35990003,9022,2067910,25.0,0,0,4,18
46147,1,1,40,99,93,12990002,864,1113437,26.0,0,1,7,6
46149,1,2,38,224,85,13150011,94,2179438,7.0,0,0,3,2
46152,1,6,42,56,75,22990002,2957,2221074,10.0,0,0,2,7
46158,1,2,35,149,13,73990677,9358,1589263,8.0,0,0,3,3
46160,1,2,38,213,19,26040043,5450,2232979,4.0,0,1,2,1
46164,1,2,35,202,80,29990044,3680,2317987,8.0,0,0,1,6
46166,1,1,35,214,96,35990003,9142,2278959,7.0,0,1,2,4
46167,0,6,36,123,56,12990001,9666,2307255,5.0,1,0,1,3
46168,1,2,38,55,26,22990002,2957,2019509,10.0,0,0,5,4
46170,1,6,38,114,16,37040002,8927,1976937,10.0,0,0,0,24
46171,1,1,35,82,54,36010001,5826,1397390,20.0,1,0,5,5
46172,0,6,49,69,57,35990015,7922,2321193,5.0,0,0,1,4
46173,1,6,41,99,75,13990073,2320,2201375,10.0,1,0,4,5
46174,1,1,40,214,80,48040003,10145,2326904,5.0,0,0,1,3
46177,1,6,43,45,16,23990194,10390,2176649,9.0,0,0,3,5
46180,1,2,42,106,16,11990006,1204,2253582,5.0,0,0,1,2
46181,1,2,41,65,19,50150004,2865,2228389,10.0,0,0,2,7
46183,1,6,35,193,99,48010020,4690,2041840,7.0,0,0,5,1
46184,1,1,38,66,26,9990002,7143,1078758,32.0,0,0,5,11
46185,1,6,35,59,99,11990003,1100,1730024,15.0,0,0,3,4
46186,1,6,42,66,25,35990002,6682,2322418,7.0,1,0,1,5
46188,1,2,38,68,16,12990002,864,1217922,18.0,0,0,2,4
46189,1,6,40,59,3,52030024,8444,2180540,8.0,0,1,3,4
46193,1,1,35,183,26,35990156,8987,1767578,10.0,0,0,1,4
46194,1,2,39,14,3,36990007,11288,2146680,8.0,0,0,3,4
46197,1,2,38,106,73,11990004,1120,1683253,20.0,0,0,1,9
46199,1,6,37,150,31,52030024,11027,2045974,7.0,0,0,2,2
46200,1,6,78,36,9,9990001,7143,2012427,35.0,0,0,6,12
46201,1,2,35,92,26,35990003,3912,1717434,10.0,0,1,2,2
46203,1,1,40,55,61,54010009,41,2322496,8.0,0,1,2,5
46204,1,2,52,55,13,11990004,1120,1960745,12.0,0,0,2,4
46208,1,2,38,99,40,36010001,5893,2104525,7.0,1,0,1,2
46209,1,2,51,99,88,12990001,9666,2037654,60.0,0,0,2,51
46210,1,6,35,206,15,22990002,2957,2157860,15.0,0,0,2,11
46216,1,6,44,143,38,35990003,7974,2261403,10.0,1,0,1,8
46217,1,1,46,147,46,35990003,8115,1991118,7.0,0,0,1,3
46218,1,1,35,99,58,12990001,9743,2301709,3.5,0,0,2,1
46220,1,6,42,35,65,36990008,9881,2248473,20.0,0,1,1,17
46221,1,1,43,87,12,11990003,1100,1612077,45.0,0,0,13,36
46224,1,6,40,186,84,48010019,4666,1974808,25.0,0,1,4,18
46226,1,6,41,100,93,50990041,7220,2327313,2.0,0,0,1,1
46229,1,1,41,99,83,12990002,999,1831516,11.0,0,0,3,2
46232,0,2,41,213,62,35990016,7620,2346099,2.0,1,0,0,2
46233,1,6,41,119,12,13150004,368,1968495,12.0,0,0,5,4
46234,1,1,34,13,61,13160017,5656,2318448,3.0,0,0,1,2
46235,1,6,42,226,3,22990002,2957,1785918,15.0,0,0,3,7
46237,1,2,40,30,58,35990016,7927,2337437,6.0,0,0,2,3
46238,1,6,39,244,28,73991005,4305,2016310,60.0,0,1,1,53
46239,0,1,38,227,69,13160014,10095,2272719,6.0,0,0,2,4
46244,1,2,40,14,31,13990075,1882,2353655,5.0,0,0,0,4
46245,1,1,39,213,37,35990003,8986,2027379,11.0,1,0,1,5
46246,1,2,35,156,73,22990002,2957,1578951,15.0,0,0,11,7
46248,1,6,41,99,13,72010001,3721,2310048,6.0,0,0,2,4
46251,1,6,40,2,13,54040011,4069,1820694,12.0,1,0,4,5
46252,1,2,41,125,73,13990063,2431,1619854,6.0,0,1,1,3
46253,1,6,49,131,73,22990002,2957,2089599,15.0,0,0,3,14
46254,1,6,38,55,15,9990030,7143,2131082,10.0,0,0,1,4
46255,1,2,46,213,76,11990004,1137,1222429,20.0,0,1,8,2
46256,1,1,51,55,37,13150005,82,1156335,25.0,1,0,6,6
46257,1,1,45,59,99,11990003,1100,1635665,25.0,1,0,0,12
46258,0,6,41,103,56,23990196,10452,2254024,5.0,0,0,2,2
46260,1,6,38,242,7,52120009,11034,2332718,5.0,0,0,1,3
46261,1,6,37,226,3,22990002,2957,2002687,10.0,0,0,1,4
46263,1,2,39,82,85,54040033,6497,1877498,20.0,0,1,3,15
46265,1,1,39,206,26,9990019,3677,1340134,25.0,0,0,5,8
46267,1,1,38,213,65,35990016,7321,1613858,10.0,1,0,5,1
46271,1,6,38,99,47,11990004,1156,1384784,23.0,1,0,3,8
46275,1,6,38,100,33,23990153,10563,2051290,35.0,1,0,2,29
46276,1,6,35,244,30,52170002,5252,1873312,16.0,0,0,2,8
46277,1,6,39,165,34,54040011,4148,2339449,2.0,0,0,1,1
46278,1,6,46,206,93,54040011,4069,1981085,30.0,0,0,4,23
46280,1,6,35,213,88,12990002,951,1378233,30.0,0,0,1,17
46282,0,6,43,111,57,35990003,3877,2152057,10.0,1,0,3,6
46283,1,1,41,156,15,22990002,2957,2163395,30.0,0,0,3,24
46284,1,6,40,219,0,12990001,9666,1874609,30.0,0,0,3,21
46285,1,1,41,66,12,9990019,7143,1179352,25.0,0,0,6,6
46288,1,1,38,165,60,54040011,4069,2328710,4.0,0,0,1,2
46289,1,2,40,213,88,13150005,266,2237813,5.0,0,0,1,2
46290,1,6,44,213,92,11990003,1249,1157968,35.0,0,0,1,16
46293,1,6,41,228,13,51990018,2884,1735054,5.0,0,0,1,5
46295,1,2,39,14,22,35990016,7927,2303231,8.0,0,0,1,6
46298,1,6,37,36,48,50150004,5158,2346013,4.0,1,0,0,3
46299,1,6,40,24,59,35990003,8379,1988271,40.0,0,0,2,33
46300,1,2,44,92,31,29990044,3683,2316259,10.0,0,0,0,9
46302,1,2,40,45,63,35990002,7812,2053823,25.0,0,0,3,19
46303,1,2,37,14,85,35990003,9031,2337664,12.0,0,0,0,10
46306,1,6,37,99,53,11990004,1391,1376858,18.0,1,0,6,3
46307,0,1,44,98,62,13150005,202,2123293,6.0,1,0,1,2
46308,1,2,43,99,1,13150005,259,2316552,4.0,0,0,0,2
46311,1,2,44,55,13,35990003,9066,1587136,25.0,0,0,1,12
46312,1,6,40,42,4,11990004,1120,2080684,12.0,0,0,0,6
46314,1,1,42,20,71,48010020,4808,1989240,25.0,1,0,4,18
46316,1,6,41,99,26,12990002,1065,1831495,14.0,0,0,2,5
46319,0,1,42,87,17,12990002,864,1567390,20.0,0,0,3,7
46321,0,6,43,45,42,35990003,8933,2087975,25.0,0,0,2,19
46324,1,1,40,99,54,12990002,1036,1572043,24.0,0,0,1,11
46325,0,2,38,160,42,13990002,6223,1026289,40.0,1,0,11,19
46327,1,1,42,99,20,13990063,2419,2280354,5.0,0,0,2,3
