,Offense Code,Last Parole Decision,Parole Review Status
536,11990004,0,0
537,13990043,0,1
538,11180000,0,0
541,12990002,0,1
542,22120000,0,0
544,54040011,1,0
545,9150000,0,0
546,9130000,0,0
549,9150000,0,0
550,36990007,1,0
551,35990003,0,1
552,35120000,0,0
555,9150000,0,0
556,12130000,0,0
559,51990018,0,0
560,9150000,0,0
561,36010001,0,0
563,36010001,0,0
565,9150000,0,0
567,9150000,0,0
568,12140000,0,1
569,35990016,0,0
570,11180000,0,0
571,12990001,0,0
572,9150000,0,0
573,10100000,0,0
574,11190000,1,0
575,11190000,0,0
576,11990004,0,0
577,54040011,0,0
578,12120000,1,0
579,12990001,1,0
580,11180000,0,0
582,11180000,0,0
583,9150000,0,1
584,48010013,1,0
586,9150000,0,0
588,13150005,0,0
589,11180000,0,0
593,11190000,1,0
594,11180000,0,0
595,11990004,0,0
596,12130000,0,0
598,12990002,1,0
599,13990026,1,0
600,35320000,0,0
601,9150000,0,0
602,9150000,0,0
604,11190000,0,0
606,11180000,0,0
607,11990001,0,0
609,12120000,0,1
611,9150000,0,0
612,36010001,1,0
614,12120000,0,0
615,12120000,0,1
616,9150000,0,0
619,13180000,0,0
620,9130000,0,0
621,9150000,0,0
622,9150000,0,0
624,52030024,1,0
625,11180000,1,0
626,10100000,0,0
628,54040011,0,0
629,54040011,1,0
632,26050000,1,0
633,11190000,0,0
634,11200000,0,0
635,13150004,0,1
637,9130000,0,1
638,9150000,0,0
639,9150000,0,1
640,22990008,1,0
641,22140000,0,1
642,12990001,0,1
643,22100000,0,0
644,11180000,0,0
645,35990016,0,1
647,13170000,0,0
652,12990001,1,0
653,22090000,0,0
656,11200000,0,0
657,12120000,0,0
658,12130000,0,0
660,9130000,0,0
662,9150000,0,0
665,36990009,0,0
666,13150005,0,0
667,35990016,0,0
668,22000002,0,0
669,35990001,0,1
671,35420000,1,0
672,13150002,0,0
673,54040011,1,0
677,10100000,0,1
678,11990002,0,0
679,9150000,0,0
680,9150000,0,1
681,9180000,0,0
682,12990002,0,0
683,10100000,1,0
685,35320000,0,1
687,22090000,0,0
688,12120000,0,0
690,12120000,1,0
693,35990002,0,1
694,11190000,0,0
703,13150005,0,0
704,11180000,1,0
705,35420000,0,0
707,12120000,0,0
708,24110000,0,0
710,9150000,0,0
711,9150000,0,0
713,11990004,0,0
714,9150000,0,0
715,35990225,0,0
716,9990019,0,0
718,35990002,0,0
720,11180000,1,0
721,54040011,0,1
722,9150000,0,0
724,9150000,0,1
726,22990002,0,1
731,11190000,1,0
732,35990003,0,0
733,12120000,0,0
734,11180000,0,0
736,35320000,0,0
737,9990007,1,0
738,35990156,0,0
740,10100000,0,0
741,10100000,0,0
742,70990065,0,0
743,9150000,0,0
746,9150000,0,0
748,36010001,1,0
749,11180000,0,1
753,12130000,0,0
754,11180000,0,0
755,11990004,0,0
757,36140000,0,0
758,9130000,0,0
759,9150000,0,0
760,35990012,0,0
761,36140000,0,1
766,35990002,0,0
767,12120000,0,0
768,9150000,0,0
769,13170000,1,0
771,13150005,0,0
772,13990075,0,0
773,12120000,0,0
774,11180000,1,0
775,11990004,0,0
778,54040011,0,1
779,13150005,0,0
781,9150000,0,0
783,22990002,0,0
784,54040011,0,0
785,54040011,0,0
786,12120000,0,0
787,9150000,0,0
788,12130000,0,0
790,35990014,0,0
791,54040011,1,0
793,11990001,1,0
795,22990002,0,0
796,12990002,1,0
801,9150000,0,0
802,22100000,0,0
803,9150000,1,0
804,12990002,0,1
806,9990023,0,0
807,54040011,0,0
808,35990002,0,0
809,9150000,1,0
810,9150000,0,1
811,9990020,0,0
814,9150000,0,0
815,9150000,0,0
816,35990015,0,0
817,11180000,0,0
818,11180000,0,1
820,35990221,0,0
822,11190000,0,1
824,9160000,0,0
826,13150005,0,0
827,13990075,0,0
828,22120000,0,0
829,11220000,1,0
830,11220000,0,0
836,11990002,1,0
837,12990001,1,0
838,11020000,0,0
841,36990009,0,0
843,11190000,1,0
845,12130000,0,0
846,70990065,0,1
847,11990004,0,0
848,35990015,1,0
851,12120000,0,0
853,9150000,0,1
854,9130000,0,0
855,9150000,0,0
857,11180000,0,0
858,22090000,0,0
859,11180000,0,0
860,35990016,0,0
861,36990008,0,0
862,12130000,0,0
863,12120000,0,0
866,35110000,0,0
869,9150000,0,1
871,23190000,1,0
872,11180000,0,0
873,11180000,1,0
874,20990002,1,0
875,9150000,0,0
876,11990004,1,0
877,22990003,0,0
878,9150000,0,0
881,9150000,0,0
882,52030013,0,0
883,9990001,0,0
886,22000001,0,0
887,35320000,0,0
889,54040011,0,1
892,11180000,0,0
894,36990007,1,0
895,9150000,1,0
898,36990007,0,0
899,36140000,0,0
901,12120000,0,0
904,13990063,0,0
905,9140000,0,0
907,22090000,0,1
908,12120000,0,0
909,11200000,0,0
910,22090000,0,0
911,54040032,0,0
912,11190000,0,0
913,37040001,1,0
914,23990010,0,1
915,9140000,0,0
916,11190000,1,0
919,22140000,0,1
923,13150007,0,1
924,54040011,1,0
926,9150000,0,0
927,13150001,0,0
929,11180000,0,0
930,22990002,0,1
933,9150000,0,0
934,9150000,0,0
935,35990003,1,0
937,54040011,0,0
938,22990002,0,0
940,35990015,0,0
941,37040001,1,0
945,35990016,0,1
946,11190000,0,1
947,73990677,0,0
948,11990002,0,0
949,11990002,0,0
951,22100000,0,0
953,54040011,0,0
954,9150000,0,0
955,9150000,0,0
958,12990001,0,1
959,35990015,0,0
962,12990002,0,0
963,36140000,0,0
965,9150000,0,0
967,54040011,0,0
969,54040011,1,0
970,24040000,0,0
971,11180000,0,0
977,11990004,1,0
978,9990001,0,0
979,9150000,0,0
981,11180000,0,1
982,11990004,1,0
985,9150000,0,0
986,12120000,0,1
989,13170000,0,0
991,12130000,0,0
992,35320000,0,0
993,9140000,0,1
994,54040011,0,0
995,35990016,0,1
996,54040011,0,0
997,36990007,0,0
998,11190000,0,0
999,54040011,1,0
1000,54040011,1,0
1001,9150000,0,1
1002,12120000,0,0
1003,11990004,0,0
1004,9150000,0,1
1005,9150000,1,0
1006,22100000,0,0
1007,54040011,1,0
1009,52030012,0,1
1011,13150005,0,0
1012,35990015,0,1
1013,35990021,0,0
1014,9150000,0,0
1017,11190000,0,0
1018,54040011,0,0
1019,54040011,0,0
1020,13990029,0,1
1021,36990007,0,0
1022,9150000,1,0
1023,9150000,0,0
1025,35990003,0,1
1026,11180000,0,1
1027,11190000,1,0
1029,9150000,0,0
1030,11190000,0,0
1032,13160017,0,1
1033,54040011,0,1
1035,11180000,0,0
1037,35730000,0,0
1038,11180000,0,0
1043,9150000,0,0
1045,36010001,1,0
1046,9160000,0,0
1050,22990003,0,0
1051,9150000,0,1
1052,9150000,0,0
1056,11180000,1,0
1058,12990001,1,0
1059,35990003,1,0
1060,12120000,0,0
1061,36010001,0,0
1062,11990002,1,0
1064,11180000,0,1
1065,9150000,0,0
1066,35320000,0,0
1067,12990002,0,0
1071,11990003,0,0
1072,22090000,0,0
1076,11180000,0,0
1078,9150000,0,0
1081,11180000,0,0
1083,9990001,0,0
1085,11180000,1,0
1087,11180000,0,0
1088,13160017,0,0
1089,36010001,1,0
1090,9150000,0,1
1092,9150000,0,0
1093,22140000,0,0
1094,12990001,0,0
1097,35320000,0,0
1099,49990002,0,0
1102,35990003,1,0
1103,54040011,0,1
1104,11180000,0,0
1105,35990003,1,0
1106,11180000,0,0
1107,11180000,0,0
1108,54040011,0,1
1109,9150000,0,1
1110,12990002,1,0
1112,54040011,0,1
1113,9990001,0,0
1114,35990003,0,0
1115,22090000,0,0
1116,9150000,0,0
1117,11180000,0,0
1122,11190000,0,0
1123,48010020,1,0
1124,54040011,1,0
1131,35990002,1,0
1133,54040011,1,0
1134,35990002,1,0
1136,13150004,0,0
1137,13990076,0,0
1138,9990019,1,0
1139,35310000,1,0
1140,13170000,0,1
1141,36990008,0,0
1142,54040011,0,1
1144,9150000,0,1
1145,54040011,0,0
1146,25890001,0,0
1148,22090000,0,0
1149,52030024,1,0
1151,13150005,0,1
1153,11180000,0,0
1154,11180000,0,0
1155,36990009,0,0
1157,22120000,0,0
1160,22090000,0,0
1161,54040011,0,1
1162,22990002,0,0
1163,9150000,0,0
1167,23990196,1,0
1168,9150000,0,0
1170,11180000,0,1
1172,11180000,0,0
1173,11180000,0,0
1174,13990075,0,0
1176,54040011,0,0
1177,54040011,1,0
1178,11990003,0,0
1181,38990007,0,1
1184,11190000,0,0
1185,36990007,0,0
1186,11190000,0,0
1189,13170000,0,0
1191,11190000,0,0
1192,11220000,0,0
1193,12130000,0,0
1195,36010001,0,0
1197,36140000,0,0
1198,11990003,1,0
1199,50990041,0,1
1200,11180000,0,0
1201,22990002,0,0
1204,48010020,0,0
1205,11190000,0,0
1206,13150004,0,0
1207,11190000,0,0
1209,11190000,0,0
1210,35990015,0,0
1212,9180000,0,0
1215,9990019,0,0
1218,36990007,1,0
1219,54040011,0,0
1220,11220000,0,0
1221,9150000,0,0
1226,23170000,0,0
1228,54040011,0,0
1229,12990002,1,0
1230,11190000,0,0
1231,9150000,0,0
1235,54040011,0,0
1236,11990004,0,0
1238,36010001,1,0
1239,52030024,0,0
1241,36990007,0,1
1243,52030024,0,0
1247,11180000,0,0
1249,9150000,1,0
1252,54040011,0,1
1253,11990004,1,0
1254,22090000,1,0
1256,9150000,0,0
1257,11180000,0,0
1258,11190000,0,1
1260,12990002,1,0
1261,35420000,0,1
1262,54040011,0,1
1267,9150000,0,0
1269,11180000,0,0
1270,9990001,0,0
1271,11180000,0,0
1272,13170000,0,0
1274,22990002,0,0
1277,35990003,0,0
1278,9150000,0,0
1279,11190000,0,0
1280,12120000,0,1
1283,54040005,1,0
1285,54040011,0,0
1286,11990004,0,0
1288,54040011,0,0
1290,36990008,0,0
1291,22090000,0,1
1293,12990001,0,0
1297,20110000,1,0
1298,54040011,1,0
1299,11990004,1,0
1300,13150005,0,0
1302,11180000,0,0
1303,11180000,0,1
1306,54040011,0,1
1307,35620011,0,1
1309,54040011,1,0
1310,13990075,1,0
1312,10100000,0,0
1315,35310000,0,0
1318,11990004,0,0
1319,37040001,0,0
1321,36990007,0,0
1323,54040011,0,0
1324,9180000,0,1
1329,11190000,0,0
1330,23990004,0,0
1331,12120000,1,0
1333,22100000,0,0
1336,11190000,1,0
1338,22990001,0,0
1339,13150005,0,1
1340,13170000,0,0
1342,11990001,0,0
1343,11220000,0,0
1344,37040009,0,1
1347,9130000,0,0
1348,9990001,0,0
1351,22080000,0,1
1352,13150005,0,0
1353,54040011,0,1
1355,12990001,1,0
1356,9140000,1,0
1358,13150005,0,0
1360,36990008,0,0
1362,11990001,0,0
1363,13150005,1,0
1364,36010001,1,0
1365,54040011,1,0
1368,48010020,1,0
1369,36990007,0,0
1370,11220000,0,0
1371,22090000,1,0
1372,35990035,0,0
1373,12120000,0,0
1375,11190000,0,0
1376,11990004,0,0
1377,12120000,0,0
1379,35990015,0,0
1382,10100000,0,1
1384,11180000,0,0
1385,13150005,0,0
1386,9130000,0,0
1387,36010002,1,0
1388,35990003,0,0
1389,22990002,0,0
1390,12120000,1,0
1391,36010001,0,0
1392,13150005,0,0
1393,38990014,0,0
1397,35990018,1,0
1400,12130000,0,0
1401,11990004,0,0
1402,36010001,0,0
1403,22000001,0,1
1404,11220000,0,0
1405,54040011,1,0
1407,22090000,0,0
1408,11180000,0,0
1409,24110000,0,0
1411,36010001,1,0
1413,10100000,0,0
1415,9150000,0,0
1418,9130000,0,0
1421,48010020,0,0
1422,22120000,0,0
1423,35990016,0,1
1425,13990076,0,0
1426,50150004,0,0
1428,36010001,0,0
1430,35990002,0,0
1433,35990003,0,0
1435,11990001,0,0
1437,35990003,0,1
1438,11180000,0,0
1440,35990003,1,0
1441,11180000,0,0
1442,11990001,1,0
1443,13990063,0,0
1445,11180000,0,1
1446,22990002,0,1
1447,12120000,0,0
1450,11990004,0,0
1452,23990208,1,0
1453,9150000,0,1
1455,11180000,0,0
1457,36990007,0,0
1461,54040011,0,1
1465,54040033,0,0
1466,9130000,0,0
1468,22120000,1,0
1469,11180000,0,1
1471,12130000,0,0
1472,12120000,0,1
1473,9150000,0,0
1474,35990002,1,0
1475,10100000,0,0
1477,10100000,0,1
1481,11990004,1,0
1483,12120000,0,0
1484,52030024,0,1
1485,9150000,0,1
1486,11990004,0,0
1487,22090000,0,0
1488,9150000,0,0
1489,35990002,0,1
1490,11220000,1,0
1492,23990009,1,0
1494,11190000,0,0
1496,11180000,1,0
1498,12990001,0,0
1499,35990003,1,0
1500,11990004,0,0
1501,22100000,0,0
1502,11220000,0,0
1503,11180000,0,0
1506,36120003,0,0
1507,22090000,0,1
1509,23990198,1,0
1511,54040011,1,0
1516,11190000,0,0
1517,9150000,0,0
1518,9990017,0,0
1520,12990001,0,0
1522,22090000,0,1
1524,35990015,1,0
1525,54040033,0,0
1527,12990001,0,0
1528,22090000,0,1
1533,36010001,1,0
1534,54040011,1,0
1535,9990003,0,1
1536,35310000,0,1
1537,13150005,0,0
1539,35420000,0,0
1541,22120000,0,0
1542,9990002,0,0
1543,9140000,0,0
1547,13990041,0,0
1548,35310000,1,0
1551,9150000,0,0
1552,12990002,0,0
1553,13170000,0,0
1554,36010001,0,1
1556,36990013,0,1
1559,20990004,0,0
1561,10100000,0,0
1562,9990017,0,0
1563,9990019,0,0
1564,22990002,1,0
1565,54040011,1,0
1566,36140000,0,0
1567,12130000,0,0
1569,22990001,0,1
1570,50990041,1,0
1571,11990004,0,0
1572,35990003,0,1
1574,12990001,0,0
1575,11190000,0,0
1577,36990005,0,0
1579,11190000,1,0
1581,70990065,0,1
1583,9150000,0,0
1584,9150000,0,0
1585,9160000,1,0
1586,13990076,0,1
1589,9150000,0,0
1591,35420000,0,0
1594,9150000,0,0
1595,22090000,0,0
1596,11990004,0,0
1598,9150000,0,0
1601,9150000,0,0
1602,9150000,0,0
1606,36990007,0,0
1608,36140000,0,0
1610,22990002,0,0
1612,22990002,0,0
1615,9150000,0,0
1616,22100000,0,0
1619,52030000,0,0
1620,11180000,0,1
1621,11180000,0,0
1622,9150000,0,0
1624,12120000,0,0
1625,54040011,0,1
1628,9150000,1,0
1629,54040011,0,0
1630,22090000,0,0
1631,9150000,0,0
1632,22090000,0,0
1633,9150000,0,0
1635,36010001,0,0
1637,11180000,1,0
1638,12130000,0,1
1639,13150005,0,1
1641,11180000,0,0
1643,10100000,0,0
1644,35420000,0,0
1645,11990001,0,0
1646,22990002,0,0
1647,22090000,0,0
1648,35990015,0,1
1652,9150000,0,1
1655,36990007,0,1
1656,11990004,0,0
1657,11180000,0,0
1658,11180000,0,0
1659,9130000,0,0
1660,52130005,0,0
1661,11180000,0,0
1662,12130000,0,0
1665,54040011,0,0
1667,12130000,1,0
1668,36990007,0,0
1669,35990003,0,1
1670,54040011,0,0
1671,12130000,1,0
1672,11190000,0,0
1674,10100000,0,0
1675,10990004,0,0
1676,35320000,0,0
1679,13150005,0,0
1681,54040011,0,1
1684,36990007,0,1
1687,22090000,0,1
1688,22990002,0,0
1690,22000002,0,1
1691,9150000,0,0
1693,54040011,0,1
1696,11190000,0,0
1698,12120000,0,0
1699,36010005,0,0
1701,9150000,0,0
1702,9130000,0,0
1704,12990001,0,0
1706,12990001,0,0
1709,11180000,0,1
1710,9130000,0,0
1711,22140000,1,0
1716,23990194,0,1
1717,9130000,0,0
1718,11990004,1,0
1720,12990001,0,0
1721,54040011,0,1
1722,36010001,0,0
1723,11990004,0,0
1724,13180000,1,0
1731,22990002,0,1
1732,9150000,0,1
1736,36010001,0,0
1737,11180000,1,0
1740,9140000,0,0
1741,22140000,0,0
1742,35990002,0,0
1743,36010001,0,0
1744,9130000,0,0
1746,11180000,0,0
1747,12120000,0,0
1748,9180000,0,1
1749,11180000,0,0
1750,9150000,0,0
1751,36990015,0,0
1752,9150000,0,0
1753,35990003,0,1
1754,9150000,0,0
1755,13180000,0,0
1756,11990004,0,0
1758,13150011,1,0
1759,35620012,0,0
1760,12120000,0,1
1761,35420000,0,0
1762,35990015,1,0
1763,22990002,0,1
1764,36990009,0,0
1768,35320000,1,0
1770,11180000,0,0
1771,13990026,0,0
1774,11190000,1,0
1776,11220000,1,0
1778,36010001,0,1
1780,9160000,1,0
1781,35990005,0,1
1782,22990003,1,0
1783,54040011,0,0
1784,54040011,0,1
1786,73990272,1,0
1787,11990004,0,1
1788,22100000,0,0
1789,54040011,0,0
1790,54040011,1,0
1793,9150000,0,0
1794,23990010,1,0
1795,9140000,0,0
1797,11990004,0,0
1798,25890001,0,0
1799,12130000,0,0
1801,9990017,0,0
1802,54040011,0,1
1806,9150000,0,0
1807,35310000,1,0
1808,54040011,1,0
1810,9150000,0,0
1812,12990002,0,0
1813,54040011,0,0
1817,9150000,0,0
1818,9150000,0,1
1821,9150000,0,0
1822,9150000,0,0
1823,11990003,0,1
1825,12990002,0,0
1827,9150000,0,0
1828,54040011,0,1
1830,54040011,0,0
1831,22990001,0,0
1832,35990003,0,0
1835,23170000,0,1
1837,54040011,0,0
1839,9150000,0,0
1841,35990003,1,0
1842,13150005,0,1
1845,11200000,1,0
1847,35990014,0,0
1848,9150000,0,0
1849,12130000,1,0
1852,9150000,0,1
1853,9150000,0,0
1854,54040011,0,1
1857,54040011,1,0
1860,11990002,1,0
1861,11180000,0,0
1862,22100000,0,0
1863,22990002,1,0
1864,9990019,0,1
1865,12130000,0,1
1866,9180000,0,0
1867,54040011,1,0
1868,52030024,1,0
1869,11180000,0,0
1873,52120009,0,1
1875,13990076,0,1
1879,54040011,0,0
1880,9150000,0,0
1884,11190000,1,0
1885,35990015,1,0
1887,9150000,0,0
1892,35990003,0,0
1893,11180000,0,0
1894,13150005,0,0
1895,11180000,0,0
1897,11190000,0,0
1898,13150008,0,0
1901,13160017,1,0
1902,22090000,0,0
1904,36120003,0,0
1906,12120000,0,1
1907,13150005,0,0
1908,13170000,0,0
1909,22100000,0,0
1910,36010001,1,0
1911,9150000,0,0
1913,13150005,0,0
1914,35310000,0,1
1917,11180000,0,0
1918,13990042,1,0
1919,35990003,0,0
1920,9150000,0,0
1922,35990169,0,1
1923,11180000,0,0
1924,13990043,0,0
1925,9130000,0,0
1926,13150004,0,0
1928,36990022,0,0
1930,54040011,1,0
1933,54040011,0,1
1935,22990001,0,0
1938,9150000,0,1
1939,54040011,0,0
1940,54040011,0,1
1943,12990001,0,0
1945,36990007,0,0
1947,22120000,1,0
1950,35990003,0,0
1952,12120000,0,0
1954,12990002,0,0
1955,13170000,0,0
1956,11990003,0,0
1957,11180000,0,0
1959,22990002,0,1
1960,13990076,0,1
1962,11990004,1,0
1963,35990056,0,0
1964,13990043,0,0
1965,22120000,1,0
1966,9130000,0,0
1967,13990025,0,0
1971,12990001,0,0
1972,11180000,0,1
1973,9190000,0,0
1974,11990006,0,0
1977,9130000,0,0
1978,12990001,0,0
1980,36990013,0,1
1981,23990004,0,0
1983,22120000,0,0
1984,52030024,1,0
1985,11180000,0,0
1986,9150000,0,0
1988,36140000,0,0
1989,36990005,0,1
1990,11990004,1,0
1993,13150005,0,1
1994,36990007,0,0
1996,22140000,0,0
1997,12990001,0,1
1999,11180000,0,0
2000,9150000,0,0
2001,11200000,0,1
2003,22100000,0,0
2004,22990002,0,0
2005,22090000,0,0
2006,12120000,0,0
2007,11990002,0,0
2008,9160000,0,0
2009,9130000,0,0
2011,9150000,0,0
2014,9150000,0,0
2019,54040011,0,0
2021,9990002,0,0
2031,54040011,0,1
2032,11990004,0,0
2033,9150000,0,0
2035,54040011,0,1
2036,25020000,0,0
2037,22140000,0,0
2038,13990076,0,1
2040,9150000,0,0
2041,36990008,0,1
2042,22090000,0,0
2043,11990004,1,0
2044,11180000,0,1
2045,36990008,0,0
2046,35990124,0,0
2047,12120000,0,0
2048,54040011,1,0
2050,35990005,0,1
2051,9160000,1,0
2052,9150000,0,0
2053,22100000,0,0
2054,12130000,1,0
2055,11990004,0,0
2056,13990043,0,0
2057,22990002,0,0
2058,26050014,1,0
2060,12120000,0,0
2061,11180000,0,0
2063,10990001,0,0
2065,36990013,0,1
2067,22990002,0,1
2068,12120000,1,0
2072,54040011,0,1
2073,26040034,0,1
2074,54040011,0,0
2079,12130000,0,0
2080,50150004,1,0
2084,12990001,0,0
2085,12990002,0,0
2086,12130000,0,0
2087,35990014,1,0
2089,35420000,1,0
2090,13990075,0,0
2091,12990001,1,0
2092,13150004,0,0
2093,11990004,0,0
2094,9990001,0,0
2095,11180000,0,0
2100,12130000,0,0
2101,11180000,0,0
2102,54040011,0,1
2105,9150000,0,1
2106,11180000,0,0
2107,22090000,1,0
2108,13150005,0,0
2110,13150005,0,0
2111,11990004,0,0
2112,35990015,0,0
2113,11990003,0,0
2114,54040011,1,0
2116,35990020,1,0
2117,22990002,0,0
2120,9130000,0,0
2123,48010020,0,0
2124,22990002,0,0
2125,11190000,0,0
2127,54040011,1,0
2129,13990041,0,0
2131,9990019,0,0
2132,13990026,0,0
2134,35990016,0,1
2135,54040011,1,0
2136,12130000,0,1
2137,9150000,0,0
2141,54040011,0,0
2142,11190000,1,0
2143,70990065,0,0
2144,11180000,0,1
2146,22990002,0,0
2147,9150000,0,1
2149,25890002,0,1
2150,12120000,0,1
2151,36010005,1,0
2152,9130000,0,0
2153,54040011,1,0
2154,48010020,0,0
2155,23210000,0,0
